,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Highest Temperature,Wind Speed
0,Albany,20,US,2019-09-05 03:33:24,68,42.65,-73.75,64.4,9.17
1,Alice Springs,0,AU,2019-09-05 03:34:07,8,-23.7,133.88,89.6,16.11
2,Atar,0,MR,2019-09-05 03:34:08,30,20.52,-13.05,94.49,6.13
3,Lata,34,IN,2019-09-05 03:34:09,84,30.78,78.62,48.45,4.18
4,Cabo San Lucas,5,MX,2019-09-05 03:33:12,54,22.89,-109.91,84.99,11.41
5,Bluff,0,AU,2019-09-05 03:34:12,11,-23.58,149.07,86.68,4.23
6,Airai,40,TL,2019-09-05 03:34:13,47,-8.93,125.41,82.81,6.33
7,Carnarvon,100,ZA,2019-09-05 03:34:14,72,-30.97,22.13,49.02,17.76
8,Vila,20,IT,2019-09-05 03:34:15,100,45.18,8.4,66.99,4.7
9,Tuktoyaktuk,75,CA,2019-09-05 03:34:17,81,69.44,-133.03,50.0,12.75
10,Busselton,0,AU,2019-09-05 03:34:18,36,-33.64,115.35,60.01,8.32
11,Beringovskiy,100,RU,2019-09-05 03:34:19,90,63.05,179.32,45.42,2.59
12,Olinda,40,AU,2019-09-05 03:34:21,40,-37.84,145.39,70.0,11.41
13,Hofn,0,IS,2019-09-05 03:34:22,75,64.25,-15.21,29.6,2.62
14,Yeppoon,0,AU,2019-09-05 03:34:23,7,-23.13,150.74,93.2,4.7
15,Hobart,40,AU,2019-09-05 03:30:32,43,-42.88,147.33,57.0,6.93
16,San Quintin,100,PH,2019-09-05 03:34:26,80,17.54,120.52,82.23,18.7
17,Eshowe,43,ZA,2019-09-05 03:34:27,94,-28.89,31.46,57.43,1.77
18,Zhezkazgan,40,KZ,2019-09-05 03:34:28,93,47.8,67.71,50.0,13.42
19,Hermanus,3,ZA,2019-09-05 03:34:30,61,-34.42,19.24,57.0,8.99
20,Jamestown,15,AU,2019-09-05 03:34:31,53,-33.21,138.6,64.25,11.3
21,Kysyl-Syr,100,RU,2019-09-05 03:34:32,90,63.9,122.77,51.2,3.51
22,Caravelas,2,BR,2019-09-05 03:34:34,90,-17.73,-39.27,70.03,5.97
23,Shingu,75,JP,2019-09-05 03:34:35,70,33.72,135.99,86.0,9.17
24,Saint George,0,GR,2019-09-05 03:34:37,55,39.45,22.34,66.2,3.36
25,Cidreira,0,BR,2019-09-05 03:34:38,72,-30.17,-50.22,47.17,6.17
26,Arraial do Cabo,100,BR,2019-09-05 03:34:39,94,-22.97,-42.02,69.27,12.17
27,Hovin,90,NO,2019-09-05 03:34:40,100,63.11,10.22,50.0,4.7
28,Caribou,75,US,2019-09-05 03:34:42,82,46.86,-68.01,63.0,8.05
29,Kudahuvadhoo,95,MV,2019-09-05 03:34:43,76,2.67,72.89,83.13,10.2
30,Port Blair,100,IN,2019-09-05 03:34:44,82,11.67,92.75,82.29,22.17
31,Lieksa,75,FI,2019-09-05 03:34:46,95,63.32,30.02,52.89,6.42
32,Norman Wells,40,CA,2019-09-05 03:34:47,87,65.28,-126.83,51.8,9.17
33,Yashkul,0,RU,2019-09-05 03:34:48,47,46.17,45.34,61.28,10.18
34,Neiafu,75,TO,2019-09-05 03:34:49,88,-18.65,-173.98,78.8,10.29
35,Kawalu,0,ID,2019-09-05 03:34:51,41,-7.38,108.21,79.98,6.58
36,Ningxiang,0,CN,2019-09-05 03:34:52,55,28.28,112.55,87.8,8.95
37,Vila Franca do Campo,20,PT,2019-09-05 03:34:53,72,37.72,-25.43,71.01,8.05
38,Nanortalik,0,GL,2019-09-05 03:34:55,90,60.14,-45.24,40.99,1.83
39,Blythe,1,US,2019-09-05 03:34:56,25,33.61,-114.59,100.4,20.8
40,New Norfolk,40,AU,2019-09-05 03:34:57,43,-42.78,147.06,57.0,6.93
41,Tual,85,ID,2019-09-05 03:31:18,85,-5.67,132.75,76.87,17.87
42,Yagoua,36,CM,2019-09-05 03:35:00,91,10.34,15.23,74.22,6.78
43,Oistins,20,BB,2019-09-05 03:31:11,88,13.07,-59.53,80.6,10.29
44,Astanajapura,12,ID,2019-09-05 03:35:02,39,-6.79,108.62,82.21,6.73
45,San Cristobal,100,HN,2019-09-05 03:35:04,70,14.68,-86.92,69.09,6.55
46,Launceston,65,AU,2019-09-05 03:35:05,40,-41.43,147.14,59.0,8.05
47,Vaini,75,IN,2019-09-05 03:35:06,94,15.34,74.49,77.0,11.41
48,Bambous Virieux,40,MU,2019-09-05 03:35:07,83,-20.34,57.76,73.99,10.29
49,Xining,0,CN,2019-09-05 03:30:50,52,36.62,101.77,73.99,5.32
50,Qaanaaq,6,GL,2019-09-05 03:35:10,53,77.48,-69.36,29.19,7.05
51,Flinders,40,AU,2019-09-05 03:35:11,59,-34.58,150.85,70.0,10.29
52,Puri,72,ID,2019-09-05 03:35:12,34,-7.54,112.45,88.57,11.43
53,Lebu,81,ET,2019-09-05 03:35:14,90,8.96,38.73,54.57,0.76
54,Tevriz,62,RU,2019-09-05 03:35:15,85,57.51,72.4,49.36,3.98
55,Mount Isa,0,AU,2019-09-05 03:35:16,15,-20.73,139.49,91.4,8.05
56,Bjornevatn,0,NO,2019-09-05 03:35:18,93,69.67,29.98,48.2,9.17
57,Cap Malheureux,40,MU,2019-09-05 03:35:19,83,-19.98,57.61,73.99,10.29
58,West Bay,20,CA,2019-09-05 03:35:20,93,49.34,-123.21,68.0,6.93
59,Oranjemund,8,ZA,2019-09-05 03:35:21,89,-28.55,16.43,55.86,22.55
60,Hilo,75,US,2019-09-05 03:35:23,69,19.71,-155.08,82.4,12.93
61,Nuuk,100,GL,2019-09-05 03:35:24,93,64.17,-51.74,41.0,32.21
62,Chuy,3,UY,2019-09-05 03:35:25,73,-33.69,-53.46,43.15,10.83
63,Horta,20,BR,2019-09-05 03:35:27,69,-10.93,-37.66,78.8,8.05
64,Coihaique,0,CL,2019-09-05 03:35:28,43,-45.58,-72.07,35.6,5.82
65,Constitucion,90,MX,2019-09-05 03:35:29,77,23.99,-104.67,62.01,3.36
66,Oranjestad,40,AW,2019-09-05 03:33:47,74,12.52,-70.03,84.2,18.34
67,Georgetown,20,GY,2019-09-05 03:35:32,94,6.8,-58.16,75.2,4.7
68,Barrow,4,AR,2019-09-05 03:35:33,87,-38.31,-60.23,32.57,1.83
69,Punta Arenas,75,CL,2019-09-05 03:35:34,84,-53.16,-70.91,35.6,6.93
70,Buraydah,40,SA,2019-09-05 03:35:35,23,26.33,43.97,87.8,11.41
71,Yellowknife,75,CA,2019-09-05 03:35:37,47,62.45,-114.38,55.4,9.17
72,Ribeira Grande,87,PT,2019-09-05 03:35:38,76,38.52,-28.7,72.15,11.07
73,Pasil,100,PH,2019-09-05 03:35:39,74,17.39,121.16,75.07,8.39
74,Ushuaia,0,AR,2019-09-05 03:32:14,56,-54.81,-68.31,41.0,6.93
75,Tiksi,4,RU,2019-09-05 03:35:42,76,71.64,128.87,47.91,12.66
76,Mulheim-Karlich,0,DE,2019-09-05 03:35:43,93,50.38,7.5,57.99,4.7
77,Otradnoye,67,RU,2019-09-05 03:35:44,93,59.77,30.8,53.01,4.47
78,Rikitea,73,PF,2019-09-05 03:35:46,73,-23.12,-134.97,72.24,8.21
79,Port Elizabeth,90,US,2019-09-05 03:35:47,94,39.31,-74.98,79.0,3.36
80,Puerto Ayora,67,EC,2019-09-05 03:35:48,94,-0.74,-90.35,68.0,1.99
81,Clarence Town,0,AU,2019-09-05 03:35:50,64,-32.59,151.78,71.01,10.29
82,Provideniya,75,RU,2019-09-05 03:35:51,76,64.42,-173.23,53.6,8.95
83,Port Alfred,100,ZA,2019-09-05 03:35:52,93,-33.59,26.89,55.99,4.0
84,Kapaa,40,US,2019-09-05 03:34:30,62,22.08,-159.32,87.8,17.22
85,Valparaiso,90,US,2019-09-05 03:35:55,100,41.47,-87.06,64.4,5.17
86,Alta Floresta,23,BR,2019-09-05 03:35:56,35,-9.87,-56.08,79.89,3.89
87,Severo-Kurilsk,1,RU,2019-09-05 03:35:57,93,50.68,156.12,49.9,15.52
88,Antibes,20,FR,2019-09-05 03:35:58,73,43.58,7.11,72.0,5.82
